epoch,train_loss,train_error,valid_loss,valid_error,test_error
138,0.068276,0.016479,0.25457,0.06769,
139,0.066866,0.016333,0.12858,0.02945,
140,0.060235,0.014870,0.12658,0.02593,
141,0.056309,0.012237,0.21859,0.06110,
142,0.064488,0.015065,0.22368,0.05275,
143,0.063277,0.015991,0.33730,0.10022,
144,0.063857,0.014236,0.14101,0.03692,
145,0.059243,0.013407,0.17895,0.04264,
146,0.064077,0.014724,0.55838,0.15692,
147,0.058830,0.013359,0.15160,0.03253,
148,0.067963,0.015553,0.65460,0.16220,
149,0.064095,0.015504,0.11987,0.02593,
150,0.058126,0.013212,0.22715,0.06110,
151,0.031471,0.007021,0.05476,0.00923,
152,0.020763,0.004729,0.05209,0.01011,
153,0.019285,0.004388,0.05257,0.00879,
154,0.017887,0.004144,0.05382,0.00835,
155,0.017223,0.003852,0.05318,0.00967,
